iter	Passed	Remaining
0	1	190
1	3	161
2	4	140
3	5	125
4	6	119
5	7	115
6	8	112
7	9	109
8	10	106
9	11	103
10	12	102
11	13	101
12	14	99
13	15	97
14	16	95
15	17	93
16	18	92
17	19	90
18	20	88
19	22	88
20	23	87
21	24	86
22	25	86
23	27	86
24	28	85
25	29	84
26	30	83
27	32	82
28	33	82
29	34	81
30	36	80
31	37	79
32	38	78
33	41	80
34	42	79
35	44	78
36	45	77
37	46	76
38	48	75
39	49	74
40	51	74
41	52	72
42	53	70
43	54	69
44	55	68
45	56	66
46	57	65
47	58	63
48	59	62
49	60	60
50	61	59
51	62	57
52	63	56
53	64	55
54	65	53
55	66	52
56	67	50
57	68	49
58	69	48
59	70	47
60	71	46
61	73	44
62	74	43
63	75	42
64	76	40
65	77	39
66	78	38
67	79	37
68	80	36
69	81	34
70	82	33
71	83	32
72	84	31
73	85	30
74	86	28
75	87	27
76	88	26
77	90	25
78	91	24
79	92	23
80	93	21
81	94	20
82	95	19
83	96	18
84	97	17
85	98	16
86	99	14
87	100	13
88	101	12
89	102	11
90	103	10
91	105	9
92	106	8
93	107	6
94	109	5
95	110	4
96	111	3
97	112	2
98	113	1
99	115	0
