iter	Passed	Remaining
0	1	1450
1	2	1377
2	4	1405
3	5	1364
4	6	1345
5	8	1337
6	9	1304
7	10	1320
8	11	1300
9	12	1284
10	14	1270
11	15	1258
12	16	1260
13	19	1372
14	20	1367
15	22	1358
16	23	1345
17	25	1396
18	26	1387
19	27	1370
20	29	1357
21	30	1367
22	34	1462
23	35	1457
24	37	1460
25	38	1460
26	40	1451
27	41	1442
28	42	1432
29	44	1426
30	45	1417
31	46	1404
32	47	1404
33	49	1402
34	51	1427
35	53	1425
36	54	1421
37	55	1416
38	57	1405
39	58	1394
40	59	1381
41	60	1373
42	61	1366
43	62	1362
44	65	1379
45	66	1371
46	67	1369
47	69	1368
48	70	1361
49	71	1354
50	72	1347
51	73	1337
52	74	1327
53	75	1319
54	76	1317
55	78	1331
56	80	1326
57	81	1330
58	83	1328
59	84	1322
60	85	1319
61	86	1314
62	88	1309
63	89	1305
64	91	1319
65	95	1349
66	96	1346
67	98	1344
68	99	1343
69	100	1341
70	102	1336
71	103	1330
72	104	1327
73	105	1323
74	107	1320
75	108	1318
76	109	1316
77	111	1314
78	113	1320
79	115	1326
80	117	1328
81	118	1326
82	119	1321
83	122	1336
84	123	1331
85	124	1327
86	126	1323
87	127	1318
88	128	1313
89	129	1309
90	131	1313
91	135	1336
92	136	1333
93	138	1331
94	139	1329
95	140	1324
96	141	1318
97	142	1313
98	143	1307
99	144	1303
100	146	1302
101	148	1304
102	151	1319
103	153	1318
104	154	1314
105	155	1313
106	157	1311
107	158	1310
108	160	1307
109	161	1304
110	162	1304
111	164	1304
112	165	1302
113	167	1298
114	168	1293
115	169	1288
116	170	1283
117	171	1279
118	172	1276
119	174	1277
120	175	1276
121	177	1276
122	179	1279
123	180	1277
124	182	1276
125	183	1274
126	184	1270
127	186	1267
128	187	1265
129	188	1263
130	192	1279
131	196	1290
132	197	1287
133	198	1284
134	200	1283
135	201	1281
136	203	1279
137	204	1277
138	206	1278
139	207	1277
140	209	1276
141	210	1271
142	211	1268
143	212	1265
144	214	1262
145	216	1268
146	218	1267
147	220	1270
148	222	1270
149	224	1269
150	225	1266
151	226	1263
152	227	1259
153	228	1255
154	229	1251
155	230	1247
156	231	1244
157	232	1240
158	234	1239
159	235	1238
160	236	1234
161	238	1231
162	239	1229
163	240	1227
164	242	1224
165	243	1221
166	244	1217
167	245	1214
168	246	1210
169	247	1210
170	249	1211
171	252	1213
172	253	1211
173	254	1209
174	256	1207
175	257	1205
176	258	1203
177	259	1200
178	261	1197
179	262	1194
180	263	1192
181	265	1191
182	266	1191
183	268	1191
184	269	1189
185	271	1187
186	272	1185
187	273	1182
188	274	1179
189	276	1176
190	277	1177
191	279	1176
192	281	1177
193	283	1176
194	284	1174
195	285	1172
196	287	1169
197	288	1167
198	289	1164
199	290	1161
200	292	1160
201	293	1159
202	295	1158
203	296	1157
204	298	1155
205	299	1153
206	300	1151
207	302	1150
208	303	1148
209	304	1147
